Zip,PctPriceCut,BS_DaysOnMarket,BuyerSellerIndex,MarketHealthIndex,ZHVI,YoY,ForecastYoYPctChange,NegativeEquity,Delinquency,MH_DaysOnMarket,DaysOnMarket_Average
44240,15.38461538,56.5,0.714285714,3.656262947,138200.0,0.58224163,0.080904486,0.079125683,0.024861878,50.0,53.25
44203,19.23076923,66.0,6.071428571,2.617041845,97500.0,15.52132701,0.053035897,0.14012061,0.039240506,61.0,63.5
44224,17.22846442,56.0,1.428571429,5.082861483,178300.0,5.690574985,0.052024678,0.051711027,0.041176471,55.0,55.5
44221,15.87301587,51.0,1.071428571,0.971550891,116100.0,1.486013986,0.079276486,0.083333333,0.022222222,49.0,50.0
44266,15.69767442,68.0,5.0,2.505178843,120000.0,1.265822785,0.096733333,0.111011034,0.052738337,62.0,65.0
44312,21.18644068,63.0,7.5,2.331169728,99800.0,9.309967141,0.077044088,0.10507025,0.046511628,53.5,58.25
44313,18.38565022,62.0,4.642857143,2.679187957,153600.0,4.846416382,0.0596875,0.086188993,0.036144578,54.5,58.25
44319,18.42105263,67.0,7.142857143,5.575887308,139200.0,7.990690458,0.059267241,0.08852459,0.024691358,63.0,65.0
44310,14.78873239,66.5,2.5,1.316807071,60700.0,18.5546875,0.120757825,0.274015051,0.059773829,56.0,61.25
44306,16.07142857,79.0,6.785714286,1.535008977,41200.0,13.8121547,0.196553398,0.356055995,0.044444444,82.0,80.5
44236,16.91542289,64.0,3.214285714,6.773235741,331700.0,3.462258266,0.034133253,0.048056832,0.017391304,63.0,63.5
44305,20.11494253,85.0,10.0,2.213092114,60800.0,8.571428571,0.145476974,0.271600567,0.043024772,74.0,79.5
44087,15.7480315,65.0,2.857142857,4.863969065,213700.0,4.29477794,0.036396818,0.044407504,0.021390374,64.0,64.5
44320,16.94915254,94.5,8.571428571,3.906228421,44500.0,11.52882206,0.194426966,0.336342043,0.055084746,90.0,92.25
44067,11.11111111,63.0,0.357142857,1.43074161,181500.0,4.913294798,0.053272727,0.061736927,0.037313433,56.5,59.75
44202,19.91525424,65.5,7.857142857,4.106477006,247300.0,2.784704904,0.044152851,0.04904882,0.014018692,63.0,64.25
44314,19.68503937,89.0,9.642857143,4.158955945,45600.0,15.73604061,0.179013158,0.361405197,0.03195739,69.0,79.0
44223,18.11023622,62.0,3.928571429,5.360447452,145900.0,4.58781362,0.065229609,0.055636896,0.021052632,62.5,62.25
44333,13.86138614,67.0,2.142857143,1.575058694,252200.0,5.611390285,0.030951626,0.047032112,0.027586207,55.0,61.0
44278,18.0952381,56.0,1.785714286,4.819776274,164300.0,5.388069275,0.054826537,0.06017192,0.047619048,60.0,58.0
44241,14.51612903,70.0,3.571428571,1.800856235,153900.0,1.785714286,0.068512021,0.07750953,0.049180328,65.0,67.5
44321,26.12612613,66.5,8.928571429,6.976936887,216400.0,0.697999069,0.039935305,0.061208875,0.00625,69.5,68.0
44301,19.85294118,73.0,9.285714286,1.025410855,63900.0,18.7732342,0.112190923,0.330897704,0.045741325,69.0,71.0
44260,15.25423729,68.5,4.285714286,6.811904433,145700.0,4.294917681,0.080494166,0.070200573,0.034013605,62.0,65.25
44056,25.55555556,60.5,5.714285714,4.201767712,211500.0,6.38832998,0.038893617,0.040210447,0.018691589,53.0,56.75
44216,20.0,63.0,6.428571429,5.604198315,158200.0,10.32078103,0.052357775,0.049039099,0.027027027,60.5,61.75
44303,19.6969697,61.5,5.357142857,0.905952217,153100.0,7.438596491,0.038484651,0.090909091,0.021978022,55.0,58.25
44286,16.0,97.0,8.214285714,3.165308659,275900.0,0.693430657,0.030627039,0.038738739,0.069767442,62.0,79.5
12180,16.74876847,99.0,6.857142857,1.331998343,169100.0,3.488372093,0.074411591,0.123232323,0.06557377,85.5,92.25
12065,17.14285714,83.0,3.428571429,4.054688579,287200.0,4.057971014,0.042844708,0.06361829,0.01875,77.0,80.0
12866,15.89861751,91.5,3.714285714,3.283386273,349200.0,4.990980156,0.036128293,0.076054664,0.0234375,83.0,87.25
12020,19.51219512,79.0,4.285714286,3.020301063,254600.0,3.875968992,0.053943441,0.070230608,0.02238806,73.0,76.0
12203,16.44736842,78.0,1.714285714,3.148736362,204000.0,6.41627543,0.053936275,0.102162565,0.03649635,75.0,76.5
12309,19.8019802,86.5,7.428571429,5.147769645,246700.0,6.935413958,0.048950142,0.098687189,0.04587156,82.0,84.25
12303,21.17117117,88.5,8.571428571,0.901809142,177900.0,5.453467694,0.058055087,0.138568129,0.058333333,81.0,84.75
