Zip,PctPriceCut,DaysOnMarket,BuyerSellerIndex
44240,15.38461538,56.5,0.714285714
44203,19.23076923,66,6.071428571
44224,17.22846442,56,1.428571429
44221,15.87301587,51,1.071428571
44266,15.69767442,68,5
44312,21.18644068,63,7.5
44313,18.38565022,62,4.642857143
44319,18.42105263,67,7.142857143
44310,14.78873239,66.5,2.5
44306,16.07142857,79,6.785714286
44236,16.91542289,64,3.214285714
44305,20.11494253,85,10
44087,15.7480315,65,2.857142857
44320,16.94915254,94.5,8.571428571
44067,11.11111111,63,0.357142857
44202,19.91525424,65.5,7.857142857
44314,19.68503937,89,9.642857143
44223,18.11023622,62,3.928571429
44333,13.86138614,67,2.142857143
44278,18.0952381,56,1.785714286
44241,14.51612903,70,3.571428571
44321,26.12612613,66.5,8.928571429
44301,19.85294118,73,9.285714286
44260,15.25423729,68.5,4.285714286
44056,25.55555556,60.5,5.714285714
44216,20,63,6.428571429
44303,19.6969697,61.5,5.357142857
44286,16,97,8.214285714
12180,16.74876847,99,6.857142857
12065,17.14285714,83,3.428571429
12866,15.89861751,91.5,3.714285714
12020,19.51219512,79,4.285714286
12203,16.44736842,78,1.714285714
12309,19.8019802,86.5,7.428571429
12303,21.17117117,88.5,8.571428571
12205,17.08860759,77.5,2.285714286
12302,16.36363636,82,2.571428571
12306,20.1754386,108,9.142857143
12208,17.82178218,76,2.857142857
12047,29.24528302,89,8.857142857
12144,17.6,85,5.714285714
12304,16.2962963,92,5.142857143
12189,12.82051282,84,1.428571429
12110,13.28671329,76,0.857142857
12054,8.928571429,71,0.285714286
12831,20.86330935,84.5,8.285714286
12118,13.19148936,95,4
12182,14.13043478,103,6.571428571
12019,13.01775148,89,3.142857143
12308,21.875,104,9.428571429
12188,17.54385965,73,2
12211,22.85714286,104.5,9.714285714
12209,10.81081081,76.5,0.571428571
12061,19.40298507,89,8
12803,19.14893617,89,7.142857143
12033,11.76470588,107.5,6
12018,21.12676056,75,4.571428571
12198,18.75,83,4.857142857
