"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01001","Agawam","MA","Springfield, MA","Springfield, MA",,1.9403397320812,75,,5.7575,212300,-0.328638497652582,6.09695152423788,0.0576118699952897,,0.0690278279725334,0.0680628272251309,72
"Zip","01002","Amherst","MA","Springfield, MA","Springfield, MA",,6.39276343046541,92.31,,,331500,-0.150602409638554,7.28155339805825,0.0377647058823529,,0.0454148471615721,0.0384615384615385,94
"Zip","01005","Barre","MA","Worcester, MA","Worcester, MA-CT",,1.06269852230355,50,,73.3217,221200,-0.405222872579919,7.43079164643031,0.114443942133815,,0.0716803760282021,0.114754098360656,69
"Zip","01007","Belchertown","MA","Springfield, MA","Springfield, MA",,5.57657782074299,100,,,274100,-0.0729128691213999,3.70790768066591,0.0554724553082817,,0.046303211351755,0.0483870967741936,83
"Zip","01008","Blandford","MA","Springfield, MA","Springfield, MA",,2.25314183123878,0,,,217500,-0.18357044515833,7.14285714285714,0.0809379310344827,,0.0601092896174863,0.0909090909090909,71
"Zip","01010","Brimfield","MA","Springfield, MA","Springfield, MA",,0.547576301615799,100,,9.6012,248400,-0.400962309542903,0.201694231544978,0.0583937198067632,,0.0667779632721202,0.075,71
"Zip","01011","Chester","MA","Springfield, MA","Springfield, MA",,0.555862449937854,100,,,146200,-0.272851296043656,-6.87898089171975,0.143714090287278,,0.223776223776224,0.0625,71
"Zip","01013","Chicopee","MA","Springfield, MA","Springfield, MA",,2.87322193067256,100,,5.6505,177200,-0.112739571589628,6.17136009586579,0.076303611738149,,0.0757156048014774,0.128048780487805,71
"Zip","01020","Chicopee","MA","Springfield, MA","Springfield, MA",,1.67725452285596,88.89,,4.2796,186300,-0.214247455811462,4.19463087248322,0.0703596349973161,,0.0642570281124498,0.110294117647059,69.5
"Zip","01022","Chicopee","MA","Springfield, MA","Springfield, MA",,3.00994337798647,,,,117700,0,3.70044052863436,0.126363636363636,,0.105660377358491,0.142857142857143,71.5
"Zip","01026","Cummington","MA","Springfield, MA","Springfield, MA",,5.22372600469548,,,34.0021,222300,0.180261378999549,13.4762633996937,0.0741385515069726,,0.0942028985507246,0.153846153846154,77
"Zip","01027","Easthampton","MA","Springfield, MA","Springfield, MA",,4.47866316807071,100,,7.0512,259500,-0.0385208012326656,6.83408810209963,0.0470327552986514,,0.0276203966005666,0.0256410256410256,59
"Zip","01028","East Longmeadow","MA","Springfield, MA","Springfield, MA",,4.53873774340561,90,,2.4056,258100,-0.308999613750483,7.58649437265527,0.0566175900813639,,0.0507892930679478,0.0675675675675676,76
"Zip","01030","Agawam","MA","Springfield, MA","Springfield, MA",,3.75983980113244,100,,,242000,-0.206185567010309,1.25523012552301,0.0609628099173554,,0.0425742574257426,0.0581395348837209,72
"Zip","01033","Granby","MA","Springfield, MA","Springfield, MA",,4.33365557243475,100,,,249000,-0.0802568218298555,3.92320534223706,0.0555461847389558,,0.0365965233302836,0.125,77
"Zip","01034","Tolland","MA","Springfield, MA","Springfield, MA",,3.32688855130507,100,,392.1569,267200,-0.18677624206201,5.77988915281077,0.064562125748503,,0.0845070422535211,0,71
"Zip","01035","Hadley","MA","Springfield, MA","Springfield, MA",,5.74851539842563,100,,,345400,-0.0867804454729534,8.27586206896552,0.0287029530978575,,0.0307262569832402,0.0454545454545455,77
"Zip","01036","Hampden","MA","Springfield, MA","Springfield, MA",,1.57091561938959,100,,,267000,-0.261486738886814,4.37842064112588,0.0418239700374532,,0.0578313253012048,0.0833333333333333,71
"Zip","01038","Hatfield","MA","Springfield, MA","Springfield, MA",,5.99364728628642,100,,,309400,-0.225733634311512,3.30550918196995,0.0533839689722042,,0.0336787564766839,0,77
"Zip","01040","Holyoke","MA","Springfield, MA","Springfield, MA",,0.889379919900566,76.47,,3.0549,191400,-0.260552371026576,4.47598253275109,0.0632967607105539,,0.0723431498079385,0.0884955752212389,66.5
"Zip","01050","Huntington","MA","Springfield, MA","Springfield, MA",,3.50711227730976,66.67,,83.9743,208800,0.0479156684235745,9.43396226415094,0.0523323754789271,,0.0417910447761194,0.142857142857143,77
"Zip","01053","Northampton","MA","Springfield, MA","Springfield, MA",,8.24886065460572,100,,,263200,-0.0759301442672741,4.73537604456824,0.0615501519756838,,0.0289256198347107,0,72
"Zip","01054","Leverett","MA","Greenfield Town, MA","Greenfield Town, MA",,7.09156193895871,100,,,326600,-0.0306091215182124,0.86473131562693,0.113423147581139,,0.0364963503649635,0,81
"Zip","01056","Ludlow","MA","Springfield, MA","Springfield, MA",,4.09335727109515,100,,,215500,-0.139017608897127,0.653900046707146,0.0737587006960556,,0.058842759071592,0.0611111111111111,79
"Zip","01060","Northampton","MA","Springfield, MA","Springfield, MA",,5.00690512360171,100,,,292100,-0.307167235494881,2.56320224719101,0.0398014378637452,,0.0519287833827893,0,76
"Zip","01062","Northampton","MA","Springfield, MA","Springfield, MA",,2.79312249689269,75,,,282700,-0.317348377997179,4.08689248895434,0.041963211885391,,0.0325909831613254,0.0166666666666667,69
"Zip","01068","Oakham","MA","Worcester, MA","Worcester, MA-CT",,1.63651429360586,50,,,273600,-0.400436840189297,7.16803760282021,0.0970175438596492,,0.0790273556231003,0.115384615384615,69
"Zip","01069","Palmer","MA","Springfield, MA","Springfield, MA",,0.704322607374672,100,,11.7001,,,,,,0.0813844714686623,0.0574712643678161,71
"Zip","01071","Russell","MA","Springfield, MA","Springfield, MA",,0.758873083828201,,,,215600,-0.50761421319797,3.85356454720617,0.0608441558441559,,0.0743801652892562,0.111111111111111,71
"Zip","01072","Shutesbury","MA","Greenfield Town, MA","Greenfield Town, MA",,2.90774754868112,100,,,248000,-0.161030595813205,1.59770585825481,0.145282258064516,,0.0418250950570342,0.272727272727273,81
"Zip","01073","Southampton","MA","Springfield, MA","Springfield, MA",,1.55986742162685,50,,6.4102,298900,-0.233644859813084,4.80364656381487,0.0455135496821679,,0.0395528804815133,0.0434782608695652,77
"Zip","01075","South Hadley","MA","Springfield, MA","Springfield, MA",,5.78925562767574,100,,1.8218,237500,-0.168137873055906,7.2234762979684,0.0538400000000001,,0.052496328928047,0.020979020979021,70
"Zip","01077","Southwick","MA","Springfield, MA","Springfield, MA",,2.55627675735396,100,,4.8355,248000,-0.241351568785197,4.90693739424704,0.0631290322580644,,0.059010152284264,0.053763440860215,71
"Zip","01080","Palmer","MA","Springfield, MA","Springfield, MA",,0.281729042949869,100,,43.9561,,,,,,0.0829694323144105,0.157894736842105,71
"Zip","01081","Wales","MA","Springfield, MA","Springfield, MA",,5.13119734843254,,,,204400,-0.292682926829268,5.96163815448419,0.058894324853229,,0.0669642857142857,0,71
"Zip","01082","Ware","MA","Springfield, MA","Springfield, MA",,2.14058831653087,87.5,,17.5213,186900,-0.106894708711919,7.29047072330654,0.0795238095238096,,0.0981684981684982,0.141791044776119,77
"Zip","01083","Warren","MA","Worcester, MA","Worcester, MA-CT",,0.999861897527966,100,,14.57,197600,-0.353000504286435,2.59605399792316,0.156831983805668,,0.105058365758755,0.0740740740740741,69
"Zip","01085","Westfield","MA","Springfield, MA","Springfield, MA",,1.67656401049579,90.48,7.1349,3.9103,251000,-0.0796178343949045,3.33470564018114,0.0792430278884462,,0.057281758613401,0.0922509225092251,39.5
"Zip","01089","West Springfield","MA","Springfield, MA","Springfield, MA",,4.19348156331998,100,,2.7905,217500,-0.18357044515833,6.045831301804,0.0735080459770114,,0.0728070175438597,0.0481927710843373,68
"Zip","01092","Warren","MA","Worcester, MA","Worcester, MA-CT",,3.96077889794227,,,,192500,-0.516795865633075,2.28480340063762,0.131693506493507,,0.091743119266055,0,69
"Zip","01095","Wilbraham","MA","Springfield, MA","Springfield, MA",,1.35616627537633,77.78,,4.0561,288200,-0.311310965063992,3.96825396825397,0.0472553782095766,,0.0582205822058221,0.0563380281690141,79
