Zip,MarketHealthIndex,SellForGain,ZHVI,MoM,YoY,ForecastYoYPctChange,NegativeEquity,Delinquency,DaysOnMarket
1001,1.940339732,75,212300,-0.328638498,6.096951524,0.05761187,0.069027828,0.068062827,72
1002,6.39276343,92.31,331500,-0.15060241,7.281553398,0.037764706,0.045414847,0.038461538,94
1005,1.062698522,50,221200,-0.405222873,7.430791646,0.114443942,0.071680376,0.114754098,69
1007,5.576577821,100,274100,-0.072912869,3.707907681,0.055472455,0.046303211,0.048387097,83
1008,2.253141831,0,217500,-0.183570445,7.142857143,0.080937931,0.06010929,0.090909091,71
1010,0.547576302,100,248400,-0.40096231,0.201694232,0.05839372,0.066777963,0.075,71
1011,0.55586245,100,146200,-0.272851296,-6.878980892,0.14371409,0.223776224,0.0625,71
1013,2.873221931,100,177200,-0.112739572,6.171360096,0.076303612,0.075715605,0.12804878,71
1020,1.677254523,88.89,186300,-0.214247456,4.194630872,0.070359635,0.064257028,0.110294118,69.5
1022,3.009943378,,117700,0,3.700440529,0.126363636,0.105660377,0.142857143,71.5
1026,5.223726005,,222300,0.180261379,13.4762634,0.074138552,0.094202899,0.153846154,77
1027,4.478663168,100,259500,-0.038520801,6.834088102,0.047032755,0.027620397,0.025641026,59
1028,4.538737743,90,258100,-0.308999614,7.586494373,0.05661759,0.050789293,0.067567568,76
1030,3.759839801,100,242000,-0.206185567,1.255230126,0.06096281,0.042574257,0.058139535,72
1033,4.333655572,100,249000,-0.080256822,3.923205342,0.055546185,0.036596523,0.125,77
1034,3.326888551,100,267200,-0.186776242,5.779889153,0.064562126,0.084507042,0,71
1035,5.748515398,100,345400,-0.086780445,8.275862069,0.028702953,0.030726257,0.045454545,77
1036,1.570915619,100,267000,-0.261486739,4.378420641,0.04182397,0.057831325,0.083333333,71
1038,5.993647286,100,309400,-0.225733634,3.305509182,0.053383969,0.033678756,0,77
1040,0.88937992,76.47,191400,-0.260552371,4.475982533,0.063296761,0.07234315,0.088495575,66.5
1050,3.507112277,66.67,208800,0.047915668,9.433962264,0.052332375,0.041791045,0.142857143,77
1053,8.248860655,100,263200,-0.075930144,4.735376045,0.061550152,0.02892562,0,72
1054,7.091561939,100,326600,-0.030609122,0.864731316,0.113423148,0.03649635,0,81
1056,4.093357271,100,215500,-0.139017609,0.653900047,0.073758701,0.058842759,0.061111111,79
1060,5.006905124,100,292100,-0.307167235,2.563202247,0.039801438,0.051928783,0,76
