Zip,Median_Value_Per_SQFT_2017-09_to_2018_08_avg,Price_to_Rent_Ratio_2017-09_to_2018-08_avg,Sale_Price_2017-08_to_2018-07_avg
10025,1342.333333,26.705,
60657,472,13.59083333,392008.3333
10023,1670.916667,26.10583333,
77494,111.3333333,11.57583333,327241.6667
60614,516.4166667,14.5075,
79936,86.91666667,9.768333333,130100
77449,89.75,9.7925,178091.6667
77084,84.83333333,9.63,
10002,1439.25,24.52916667,
10467,258.0833333,18.07916667,
60640,411.1666667,11.17166667,
94109,1179,22.88,
11226,556.3333333,24.935,
10016,1329.083333,23.49083333,829066.6667
37013,119.0833333,11.695,200466.6667
32162,163.75,9.941666667,
11375,670.25,23.67333333,
11235,586.6666667,22.79416667,
78660,122,11.58416667,241008.3333
90250,471.1666667,18.33333333,615475
60647,332.4166667,14.175,
37211,150.75,12.8675,247533.3333
10029,978.9166667,27.46,
10009,1419.416667,25.96166667,
60618,359.1666667,14.21,399775
10011,1705,26.00916667,
77573,108.0833333,9.881666667,270800
10128,1264.083333,26.16083333,
77584,104.75,10.24833333,256250
28269,103.5,11.825,191566.6667
20002,521.25,19.435,602541.6667
78130,130.6666667,11.28,224216.6667
30349,68.58333333,9.279166667,
78572,72.83333333,8.5225,
94565,276.4166667,15.205,417041.6667
79912,96.91666667,10.97583333,201150
90046,868.5833333,21.89083333,
78613,133.75,13.27583333,284750
75052,102.8333333,10.62166667,207416.6667
20009,643.3333333,16.86833333,563516.6667
37042,90.25,11.51416667,
10462,199.8333333,9.253333333,
77433,99.75,10.205,262583.3333
73099,94.16666667,10.8,161133.3333
10003,1753.916667,25.92583333,
77429,97.58333333,10.55166667,243575
77479,120.5833333,12.5175,361866.6667
63376,133.75,10.84166667,192175
60613,479.5833333,11.15583333,
30044,93.66666667,11.2275,180418.1818
11230,639.4166667,31.58916667,
10463,476.0833333,22.2,
30043,98.33333333,12.685,218590.9091
60629,145.0833333,9.5,160375
11212,350.8333333,16.46333333,
11209,685.4166667,31.20333333,
60625,301,12.72333333,292883.3333
7030,747.5,20.88166667,
28277,142,15.0975,311075
75287,147.8333333,13.18166667,
85032,168.5,14.98916667,246233.3333
78704,353,18.10166667,
33160,265.8333333,12.4275,
77077,134.5,11.47833333,
78245,94.33333333,10.24083333,183341.6667
21234,150.9166667,10.80083333,195633.3333
23464,138.8333333,13.895,241866.6667
30096,112.25,12.42083333,203290.9091
78521,55.5,7.403333333,
75243,115.3333333,11.25333333,282483.3333
11214,583.6666667,26.3275,
98052,405.75,25.62416667,733708.3333
94501,657.8333333,24.02833333,916358.3333
8701,164.6666667,13.24416667,244458.3333
11221,605.5833333,34.84666667,
60610,460.5,12.37666667,
11229,512.75,26.515,
77379,91.25,10.31083333,
78666,130.1666667,10.8825,
10019,1557.25,25.1025,
30024,121.9166667,14.4425,325166.6667
94110,1155.416667,27.00666667,1452416.667
60619,101.5,8.715,
33139,478.4166667,13.69833333,343266.6667
33411,154.1666667,12.115,269716.6667
90034,819.0833333,23.46333333,
44107,117.9166667,10.185,167591.6667
78745,209.75,14.29333333,297841.6667
75067,136.3333333,11.99333333,241433.3333
33025,170.8333333,10.64833333,218341.6667
11377,559.5,24.75583333,
48197,121,10.64083333,
2169,315.8333333,14.63583333,352600
66062,138.25,11.23666667,257650
23462,125.9166667,12.8,189416.6667
90044,344.9166667,15.02166667,405066.6667
44035,70.83333333,9.480833333,
95630,260.5833333,19.0775,511441.6667
90805,391.5,16.24833333,436775
90650,386.8333333,16.90833333,456583.3333
11234,433.75,22.34666667,
92683,395.75,18.96916667,635666.6667
85710,108.25,12.80666667,159112.5
28027,111.75,12.50333333,
11355,656.0833333,24.09166667,
10314,350.1666667,19.57916667,444600
37075,170.5,13.57416667,278916.6667
90026,715.75,23.56333333,
30281,79.5,10.11666667,146241.6667
32210,89.66666667,10.62666667,121133.3333
85225,158,15.3775,248375
11215,1137.166667,33.56333333,
94558,409.8333333,18.65333333,
