Zip,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
60657,366800,380300,392100,3.94E+05,389300,380200,366300,355900,346600,368600,369600,383500,366300,362200,358700,367800,377100,382800,366700,349600,323200,3.42E+05,354500,387300,3.70E+05,361700,352800,363800,373500,371700,4.02E+05,415100,409700,395700,392500,398800,377700,365100,375300,384500,391700,393600,401500,396800,363400,3.67E+05,373200,3.89E+05,351200,3.48E+05,348600,360800,346200,342300,376900,3.83E+05,373200,322300,322300,346500,370500,365400,361600,361800,374100,377600,382200,3.82E+05,370400,377500,381700,3.90E+05,3.81E+05,384200,392300,404100,403200,390600,398700,407900,419800,400300,3.96E+05,395900,399300,398700,390800,3.96E+05,383200,389400,388400,393700,356500,360900,351300,3.79E+05,386700,397800,405700,400500,399600,368900,3.56E+05,348700,388600,395900,407700,372600,383600,379600,405500,379100,385100,362800,376400,393600,414800,411200,4.03E+05,407500,421700,367400,3.67E+05,364600,414100,413200
77494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250600,268200,260800,2.57E+05,2.44E+05,248200,247800,247100,250200,250700,267100,269500,276600,269600,2.65E+05,254900,254300,2.56E+05,268800,266100,263300,251800,247700,250100,2.59E+05,265700,2.68E+05,265700,272700,278200,278200,273400,271300,276200,279500,280300,2.81E+05,281700,2.81E+05,276400,277100,280800,289500,290900,289300,293700,292100,304300,301800,313200,311100,311500,306600,302800,310900,311900,316600,306500,3.12E+05,309700,312800,308200,313500,321600,322600,322400,314100,321400,325500,331800,332400,328500,326400,318500,318600,323700,321600,3.22E+05,318500,319900,317800,328400,333500,336500,332900,330100,3.36E+05,329700,
79936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111400,112500,112300,117200,118800,125100,121200,125400,115600,117500,113100,120600,116600,116400,115200,119200,120300,120600,118700,117300,116200,119400,124300,121100,122700,119800,1.18E+05,118800,117700,120400,109400,111400,1.13E+05,122300,120800,120400,117800,120100,118400,1.19E+05,117200,115200,116400,1.10E+05,113700,112800,119500,119100,121300,121100,122600,119700,118900,118300,121200,124600,120700,116500,114100,119600,119500,117700,1.18E+05,121700,129200,131200,129700,125400,122400,126700,126700,1.27E+05,126900,1.30E+05,128300,125500,129600,132800,131300,128700,129400,130700,128300,129100,132900,134600,
77449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146800,147800,147500,149100,150700,153100,152600,1.54E+05,155500,158400,155200,153900,158300,164200,165300,159800,159200,164500,172100,1.74E+05,173800,169600,167200,1.66E+05,168300,168900,168400,161300,162700,162400,170200,171300,175100,175900,177900,179300,177500,174100,171200,177700,1.81E+05,183400,179400,180400,179300,178300
10016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731400,604700,661100,626600,756300,765400,793900,674500,664200,636300,687500,697300,711300,722700,738100,753900,737800,723800,7.30E+05,730300,705700,670400,648500,658900,675700,693200,700200,698900,714900,815400,835700,852400,794900,855600,8.67E+05,867200,841800,834100,869500,829200,8.77E+05,867700,876500,850200,851200,874600,870300,880400,867200,858500,795600,816300,7.81E+05,802400,776200,735900,801700,833400,928300,880700,862800,823900,825600,823900,7.84E+05,799100,803200,833800,872900,8.46E+05,883700,816900,835800,820800
37013,133100,134600,132700,132500,132200,132200,132100,132800,128900,124700,121200,125600,131800,130900,127600,124700,128900,129300,1.28E+05,128500,1.25E+05,126200,120600,123200,122700,121300,121400,121200,121900,118200,118500,114900,1.13E+05,111100,110300,114100,108600,104600,101100,102700,106100,103300,103500,101500,102300,106400,110200,1.15E+05,1.08E+05,104700,103300,104400,104200,98600,106500,113100,115300,107500,106600,109400,114600,118300,120700,123900,124200,120400,118900,120300,125900,130600,132600,134900,134200,132700,131600,130900,129500,130600,131900,133200,133900,133800,1.35E+05,144500,148500,146700,1.41E+05,140600,147400,148300,149400,148400,148800,148900,1.52E+05,152500,154600,152900,156100,159200,161100,162100,164900,169400,173800,173900,172600,174800,1.75E+05,179200,177400,1.78E+05,180100,185300,1.93E+05,196700,196900,196100,192800,195700,198600,2.04E+05,211900,213700,220900,215800
78660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60E+05,1.61E+05,170300,177400,182400,185300,180700,179400,174300,174900,1.74E+05,178200,179300,180400,178900,179400,178500,1.82E+05,183200,183100,184200,1.87E+05,191600,193300,196400,2.01E+05,206400,213700,212600,209600,204200,203900,205900,207500,213700,210600,209800,206500,214600,219800,224300,224700,226600,2.30E+05,234100,240700,238400,237900,235200,236500,235500,232400,234100,238600,239200,240800,238800,244700,239600,237500,2.35E+05,240700,243400,247200,246600,
90250,478100,444600,392500,380300,421900,407500,398700,382400,397700,400800,3.60E+05,338100,322500,322900,313300,317200,3.17E+05,319200,315600,317200,321300,339800,326700,332800,326300,349200,370500,357700,3.52E+05,329900,331700,343700,332200,334500,314900,340700,332700,360100,337500,324300,302300,294500,312400,317800,334800,327300,299800,269500,276900,299100,316800,3.10E+05,323500,315600,328900,326900,371400,366500,358400,344200,363900,360100,358600,377300,398600,414300,409800,403900,404900,397800,427900,441600,4.41E+05,439600,443900,457100,463300,475200,488300,495200,470900,484100,445800,460900,4.71E+05,506500,520600,502300,498100,472800,473800,476800,502800,511800,505900,503400,500300,522800,518400,543800,541900,554300,537400,5.62E+05,577200,582800,581800,577400,584400,585700,600500,597300,634500,613300,621500,586800,598200,578100,571500,586600,615100,636100,645500,658200,674800,681600
37211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173100,174200,171700,1.70E+05,174800,175600,181300,174400,180200,182500,187400,184500,184800,182900,188700,191100,1.96E+05,198700,212400,214700,213900,2.01E+05,201600,202100,2.07E+05,211400,219500,224100,2.26E+05,221700,224900,227700,2.31E+05,2.33E+05,231600,234800,232300,235200,237900,237400,241400,238600,2.55E+05,255800,264400,259200,257200,2.56E+05,2.46E+05
60618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340700,349600,333200,326200,321600,313600,297900,318200,324800,365900,3.68E+05,370900,354200,3.58E+05,362600,365600,361500,365500,356400,344900,325700,343300,369400,388400,380400,359200,350700,353700,367200,367300,373800,354600,366100,3.55E+05,355100,328900,3.41E+05,355300,353100,358100,358200,389300,393400,407700,410200,401400,400800,402400,4.07E+05,389400,369200,3.74E+05,3.94E+05,405700,413200,435500,439500,430200,385500,386600,374500,379200
