Zip, School, Rating
44203,Barberton High School,3
44203,Johnson Elementary School,3
44203,Barberton Middle School,4
44203,Memorial Elementary School,Barberton
44203,Woodford Elementary School,Barberton
44203,Portage Elementary School,4
44203,Norton Cornerstone Elementary School,8
44203,Norton High School,6
44203,Norton Middle/Intermediate School,8
44203,Norton Primary Elementary School,9
44203,St Augustine Elementary School,5
44203,Barberton Elementary East,Barberton
44224,Silver Lake Elementary School,8
44224,Echo Hills Elementary School,7
44224,Fishcreek Elementary School,6
44224,Highland Elementary School,8
44224,Indian Trail Elementary School,6
44224,Stow-Munroe Falls High School,7
44224,Woodland Elementary School,7
44224,Lakeview Elementary School,5
44224,Holy Family Elementary School,3
44224,Walsh Jesuit High School,5
44224,Cuyahoga Valley Christian Academy,4
44224,Kids Country Stow,Stow
44224,Faith Islamic Academy,3
44266,Brown Middle School,5
44266,Carlin Elementary School,6
44266,Ravenna High School,3
44266,Tappan Elementary School,Ravenna
44266,West Main Elementary School,7
44266,West Park Elementary School,4
44266,Willyard Elementary School,6
44266,Ravenna Christian School,1
44266,Southeast Intermediate Elementary School,6
44266,Southeast Elementary Campus School,OH
44266,Southeast High School,5
44266,Southeast Primary Elementary School,5
44266,Maplewood Career Center,Ravenna
44266,Kid Watch Day Care,OH
44221,Cuyahoga Falls High School,4
44221,Elizabeth Price Elementary School,5
44221,Gordon Dewitt Elementary School,7
44221,Lincoln Elementary School,7
44221,Preston Elementary School,6
44221,Roberts Middle School,8
44221,St. Joseph School,4
44221,Redeemer Christian School,5
44221,Chapel Hill Christian School,5
44221,Schnee Learning Center,3
44312,Hatton Elementary School,4
44312,Hyre Middle School,4
44312,Ritzman Community Learning Center,6
44312,Windemere Elementary School,5
44312,Ellet High School,2
44312,St Matthew Parish School,5
44312,Chapel Hill Christian School-Green Campus,5
44312,Roosevelt Elementary School,3
44312,Schrop Intermediate School,6
44312,Spring Hill Junior High School,Akron
44312,Springfield High School,5
44312,Young Elementary School,3
44312,Summit Academy Middle School-Akron,3
44312,Greater Summit County Early Learning Center,9
44313,Essex Elementary School,Akron
44313,Firestone High School,5
44313,Litchfield Middle School,2
44313,Perkins Middle School,Akron
44313,Case Elementary School,3
44313,Our Lady Of The Elms High School,4
44313,Our Lady Of The Elms Elementary School,4
44319,St. Francis DeSales School,5
44319,Coventry High School,5
44319,Coventry Middle School,6
44319,Erwine Intermediate School,Akron
44319,Turkeyfoot Elementary School,8
44319,Manchester Middle School,8
44319,Manchester High School,8
44319,Nolley Elementary School,9
44310,Findley Community Learning Center,2
44310,Forest Hill Community Learning Center,2
44310,Bettes Elementary School,4
44310,Jennings Community Learning Center,2
44310,North High School,2
44310,Hiland High School,7
44310,St. Anthony of Padua Elementary School,4
44310,North Akron Catholic School,Akron
